name,profile_url,image_url,local_path
Theodore Rappaport,https://wireless.engineering.nyu.edu/tedrappaport/,https://cs.nyu.edu/media/faculty_photos/Rappaport_18-0078__0284_250x250.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Theodore_Rappaport.jpg
Oded Regev,http://www.cims.nyu.edu/~regev/,https://cs.nyu.edu/media/faculty_photos/Regev_16-0015_0376_250x250.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Oded_Regev.jpg
Mengye Ren,https://mengyeren.com/,https://cs.nyu.edu/media/faculty_photos/mengye_ren4.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Mengye_Ren.jpg
Benjamin Riviere,https://sites.google.com/view/riviere-robot-lab/people,https://cs.nyu.edu/media/faculty_photos/headshot_v3_FeqH38j.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Benjamin_Riviere.jpg
Florian Schaefer,https://f-t-s.github.io/,https://cs.nyu.edu/media/faculty_photos/prof_pic-480.webp,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Florian_Schaefer.webp
Pratyusha Sharma,https://pratyushasharma.github.io/,https://cs.nyu.edu/media/faculty_photos/pratyusha-headshot_1.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Pratyusha_Sharma.jpg
Dennis Shasha,http://cs.nyu.edu/cs/faculty/shasha/,https://cs.nyu.edu/media/faculty_photos/Shasha_16-0015_0005_250x250.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Dennis_Shasha.jpg
Alan Siegel,http://cs.nyu.edu/cs/faculty/siegel/,https://cs.nyu.edu/media/faculty_photos/Siegel_16-0015_0819_250x250.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Alan_Siegel.jpg
Claudio Silva,https://engineering.nyu.edu/faculty/claudio-silva,https://cs.nyu.edu/media/faculty_photos/Silva_250x250.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Claudio_Silva.jpg
Anirudh Sivaraman,https://cs.nyu.edu/~anirudh/,https://cs.nyu.edu/media/faculty_photos/Sivaraman_18-0078__0006_250x250.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Anirudh_Sivaraman.jpg
Julia Stoyanovich,https://engineering.nyu.edu/faculty/julia-stoyanovich,https://cs.nyu.edu/media/faculty_photos/julia_stoyanovich.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Julia_Stoyanovich.jpg
Lakshminarayanan Subramanian,http://cs.nyu.edu/~lakshmi/,https://cs.nyu.edu/media/faculty_photos/Subramanian_16-0015_0690_250x250.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Lakshminarayanan_Subramanian.jpg
Torsten Suel,https://engineering.nyu.edu/faculty/torsten-suel,https://cs.nyu.edu/media/faculty_photos/torsten_suel.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Torsten_Suel.jpg
Qi Sun,https://qisun.me/,https://cs.nyu.edu/media/faculty_photos/qi_sun.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Qi_Sun.jpg
Joseph Tassarotti,https://cs.nyu.edu/~jt4767/,https://cs.nyu.edu/media/faculty_photos/jtassarotti_profile.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Joseph_Tassarotti.jpg
Matus Telgarsky,https://cims.nyu.edu/~matus/,https://cs.nyu.edu/media/faculty_photos/matus-cropped.png,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Matus_Telgarsky.png
Julian Togelius,https://engineering.nyu.edu/faculty/julian-togelius,https://cs.nyu.edu/media/faculty_photos/julian_togelius.png,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Julian_Togelius.png
Paul Torrens,https://engineering.nyu.edu/faculty/paul-torrens,https://cs.nyu.edu/media/faculty_photos/paul_torrens.png,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Paul_Torrens.png
Erdem Varol,https://engineering.nyu.edu/faculty/erdem-varol,https://cs.nyu.edu/media/faculty_photos/erdem_varol.png,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Erdem_Varol.png
